,Unnamed: 0,Unnamed: 0.1,id,created_at,retweet_count,user_screen_name,user_followers_count,user_location,text
105,105,105,1082975929327124480,2019-01-09 12:22:36,0,peterwalker99,24778,"London, UK","Slightly odd #PMQs . You'd call it a win overall for Corbyn, but with the ammunition he has to work with – the doom…"
106,106,106,1082975926546243584,2019-01-09 12:22:36,3,Dr_Rave,2155,,RT @DawnHFoster: And here’s the document the government hope to use to persuade the DUP to back Theresa May’s Brexit deal/calm down about t…
107,107,107,1082975926164643842,2019-01-09 12:22:36,0,DickTVShow,196,Your Mum,@ottocrat @mi5uk These people are the fringe. They've never 'won' anything before and they're furious that all cred…
108,108,108,1082975925300592640,2019-01-09 12:22:35,33,TerryStorey4,572,,RT @LeslieH24367191: Yvette Cooper (Labour) Tabled a vote yesterday to stop the government preparing for WTO brexit Her consituents voted l…
109,109,109,1082975925208313857,2019-01-09 12:22:35,136,tattooedfreak14,233,,RT @darrengrimes_: Sky News have gone straight from Ken Clarke to Michael Heseltine. I’m loving their diverse line-up this morning. It’s re…
110,110,110,1082975923278876672,2019-01-09 12:22:35,26,stevenson_les,855,United Kingdom,RT @SocialM85897394: SACK Bercow. He was red carded months ago but refuses to leave the pitch. SACK HIM NOW. via @G…
111,111,111,1082975922515513345,2019-01-09 12:22:35,19,cinnamonbear14b,750,,"RT @Econs4FreeTrade: If Tory MPs ignore the party membership and back the Brexit deal, they risk losing the activists on whom they rely ht…"
112,112,112,1082975922108747776,2019-01-09 12:22:35,0,rentals_cannes,961,Cannes,@cmackinlay Thank heavens that stupid witch hunt is over...you can now fully focus on obtaining the right Brexit ou…
113,113,113,1082975921102090240,2019-01-09 12:22:34,0,croquetfgarcia,238,Cheshire,"It appears to me that #London also has same. We have gangs, stabbings, no go areas, not enough police to nan street…"
114,114,114,1082975920292540423,2019-01-09 12:22:34,5,Mairi,673,"RSA, London","RT @theRSAorg: The deadlock in Parliament goes beyond Brexit. It highlights the need to make political power more local across the UK, argu…"
115,115,115,1082975919189512193,2019-01-09 12:22:34,204,cinnamonbear14b,750,,RT @LeaveMnsLeave: John Bercow has bent Parliament's rules in an attempt to stop Brexit. Further proof that the voices of Brexiteers just…
116,116,116,1082975919118209024,2019-01-09 12:22:34,0,Freshdic,277,"Lauzun, France",Carcinogens in your cosmetics? Welcome to Brexit Britain | Caroline Criado-Perez
117,117,117,1082975918757462016,2019-01-09 12:22:34,0,reelleZahl,318,Deutschland,@darrenpjones well done! Add to this that possibly upto 1.1m ballot papers from global Britons (global—the thing po…
118,118,118,1082975918069612545,2019-01-09 12:22:34,0,BWMercury,4641,"Bridgwater, Somerset, UK",Brexit:The Uncivil War showed the new face of politics with its finger on the algorithms of social media…
119,119,119,1082975917205536768,2019-01-09 12:22:34,163,Fefounista,2708,"Pau, France",RT @theresa_may: The Brexit deal explained 👇 #BackTheBrexitDeal
120,120,120,1082975915817226241,2019-01-09 12:22:33,318,MorpheusThink,1779,"England, United Kingdom",RT @RaheemKassam: The Guardian finally gets it/tells the truth. It ain't the UK at risk of recession over Brexit. It is Germany. So get you…
121,121,121,1082975915662036992,2019-01-09 12:22:33,0,humbertodelolm1,65,nyc,They should make an other referendum with the options deal Brexit no deal Brexit or abort Brexit.
122,122,122,1082975913153826816,2019-01-09 12:22:33,0,thebellymiller,34,"Sheffield, England","@piersmorgan Well that’s true, is it? It would solve one thing- it would answer the question of whether the British…"
123,123,123,1082975911610335232,2019-01-09 12:22:32,0,robertabwMP,19790,"Durham, UK.",@jeremycorbyn absolutely clear in his questioning of PM about whether she will take note of will of Parliament clea…
124,124,124,1082975910557564928,2019-01-09 12:22:32,1,cinnamonbear14b,750,,"RT @PaulJ2202: @theresa_may Brexit explained in less than 60 seconds ""The leadership of the UK is weak and is trying to appease her EU task…"
125,125,125,1082975910469554177,2019-01-09 12:22:32,14,paul_woodcraft,1490,UK East Anglia,"RT @hayward_katy: A fascinating report on MPs' views on #Brexit, @BorderIrish and also on #NoDeal. [Try not to be distracted by the unfor…"
